EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
MNFM100135672;COMCO EcoLease;- -;-
MNFM100000838;Sammler unbekannte Einsatzorte;;--
MNFM100005232;BZ Magdeburg WF / Verw.;;--
MNFM100005295;Ohne Zuordnung;;--
MNFM100005327;Ohne Zuordnung;;--
MNFM100005351;Ohne Zuordnung;;--
MNFM100005385;Ohne Zuordnung;;--
MNFM100005388;Ohne Zuordnung;;--
MNFM100005467;ohne Zuordnung;;--
MNFM100112245;BZ 65 Betriebstechnik(Abt.31);;--
MNFM100125480;Abteilung 32 - Verkehr;;--
MNFM100126440;Streetscooter Pool Aachen;;--
MNFM100130920;GFz als Fiwa;;--
MNFM100131080;GFz als Fiwa;;--
MNFM100135163;GFz als Firmenwagen;;--
MNFM100135345;Dummy Einsatzort STS Drittmarkt;;--
MNFM100136509;Dummy Einsatzort;;--
MNFM100136709;ZUI Rösch Nbg PZF 90431-90475;;--
MNFM100136770;SNL KT;;--
MNFM100136829;Berlin 55;Holzhauser Str. 155;--
MNFM100136969;GFz als Fiwa;;--
MNFM100137389;Abt 12, GFz Pool;Fraunhoferstr 10;--
RT30100000329;Hausservice,;Otto-Röhm-Str.;--
UBK;Ohne Zuordnung;;--
MNFM100135346;Dummy-Einsatzort;Dummy;0
MIG1000003;Sammler unbekannte Einsatzorte;Unbekannt;00000
MNFM100008479;Unbekannte Standorte;;00000
MN18565;0101 Dresden;Feldschlößchenstr.;01069
MNFM100122565;Dresden, ÜP Radeberger Str. 14;Radebergerstr. 14;01099
MNFM100131713;helplinePRO Auto-Schreyer Dresde;Hermann Mende Str.3;01099
MN181811;Dresden 10, Flughafenstr.;Flughafenstr. 100;01109
MN181812;Dresden 22, GroßenhainerStr.;Großenhainer Str. 149;01129
MN181813;Dresden 33, Bunsenstr.;Bunsenstr. 4;01139
MNFM100133020;0109 Mech ZB Dresden;Marie- Curie- Str. 14;01139
MN181803;Dresden 11 (Cossebaude);Bahnhofstr. 10;01156
BT01100000048;Dresden 13, Am Lehmberg;Am Lehmberg 54;01157
BT01100000008;Dresden 35, Wernerstr.;Wernerstr. 40;01159
MNFM100137209;CSG.TS Hr Jenchen;Am Stieglitzgrund 40;01169
MN181809;Dresden 25, Bambergerstr.;Bambergerstr. 7;01187
DUP192-MN184;Dresden 24, Rothäuserstr. 2;Rothäuserstr. 2;01219
MN181819;Dresden 5, Rothäuserstr. 2;Rothäuser Str. 2;01219
MN18568;0102 Dresden-Süd;Alttorna 5;01239
MN181806;Dresden 18, An der Post;An der Post 15;01257
MNFM100122642;ZUI_Sachsengarage_Dresden_LR09;Liebstädter Straße 5;01277
MNFM100132240;Dresden 50, Glashütter Str.;Glashütter Str. 101;01277
MNFM100118937;SNL P&P//Hr Sternberg;Gerokstr. 18;01307
MNFM100120556;ZSPL Dresden, Gerokstr. 18- 20;Gerokstr. 18- 20;01307
MNFM100135304;SNL IT P&P Standort Firmenwagen;Gerokstr. 14-20;01307
MN181858;Dresden 55, Bahnhofstr. 2;Bahnhofstr. 2;01328
MN181850;Radebeul 5 (Ost);Meißner Str. 191;01445
MN181845;Radeberg;Dresdener Str. 9;01454
DUP196-MN184;NL BK Dresden Abt.32 Ottendorf-Okrilla;Bergener Ring 8;01458
MN181837;Ottendorf-Okrilla;Bergener Ring 8;01458
MN181838;BZ Dresden Abt. 31(MOBIS);Bergener Ring 8;01458
MN18577;0100 Ottendorf-Okrilla;Bergener Ring 2-6;01458
MNFM100004628;BZ 01 Dresden Abt 31 MT;Bergener Ring 8;01458
MNFM100005186;BZ 01 Dresden Stab HS;Bergener Ring 8;01458
MNFM100005188;BZ 01 Dresden Abt 32 Verw.;Bergener Ring 8;01458
MNFM100007371;Hof BZ- 01;Bergener Ring 8;01458
MNFM100118015;BPM Langzeitmiete ohne Zuordnung;Bergener Ring 8;01458
MNFM100122584;ZUI_FaSchreyer_Ottendorf_LR01,02;Bergener Ring 1-3;01458
MNFM100133704;SNL HR//Hr Richter;Bergener Ring 8;01458
MNFM100136649;NL MKV/Pack//Hr Dolze;Bergener Ring 2-6;01458
NEUMN18579;NL PEL Ottendorf-Okrilla;Bergener Ring 2-6;01458
RT10100000596;HUB 01 - stationär;Bergener Ring 2-6;01458
MN181823;Großenhain;Bahnhofstr. 1;01558
MN181846;Riesa;Bahnhofstr. 43;01587
MN181822;Gröditz;Marktstr. 1;01609
MNFM100132241;Coswig, ÜP Coswig 171;Johana-Sebastian-Bach-Str. 7c;01640
DUP194-MN184;Meißen;Talstr. 42;01662
MNFM100007745;SC Dresden;Bremer Str. 7;01665
MNFM100124583;DHL Express Dresden;Bremer Str. 5;01665
MN181835;Nossen;Lindigtstr. 21;01683
MN181857;Weinböhla;Poststr. 45;01689
MN18572;0104 Gröbern;Gewerbepark 5;01689
MN181820;Freital;Lutherstr. 6;01705
MN181859;Grumbach;Am Gewerbepark 3;01723
MNFM100122016;TU - Krolikowski (Kesselsdorf);Unkersdorfer Str.19;01723
MN181842;Bannewitz (Possendf);Kastanienallee 3 b;01728
MN181805;Dippoldiswalde;Dr.-Friedrichs-Str. 5;01744
MN181843;Glashütte 2;Grimmsche Hauptstr. 76;01768
MN181841;Pirna;Gartenstr. 29-30;01796
MN181824;Heidenau;Pillnitzer Str. 8;01809
MN181801;Bad Schandau;Elbufer 2;01814
MNFM100008506;Bahretal;Borna 10c;01819
MN181851;Stolpen;Pirnaer Landstr. 24;01833
MN181833;Neustadt;Bischofswerdaer Str. 25;01844
MN181852;Sebnitz;Schandauer Str. 13;01855
MN181802;Bischofswerda;Belmsdorferstr. 31;01877
MN181840;Pulsnitz;An der Schäferei 7;01896
MNFM100131714;helplinePRO Auto Dienst Winter;Hauptstraße 53;01906
MN181827;Kamenz;Andreas-Günther-Str. 1;01917
MN181828;Königsbrück;Kamenzer Str. 26;01936
MN181853;Senftenberg;Bahnhofstr. 21;01968
MNFM100131711;helplinePRO AH Uhlig Senftenberg;August-Bebel-Straße 6 - 10;01968
MN181844;Schwarzheide;Kostebrauerstr. 1;01983
MNFM100004627;BZ 02 Bautzen Abt 31;Kreckwitzer Str. 11;02625
MNFM100125184;TS Leipzig Parkplatzregelung, BZ Bautzen;Kreckwitzer Str. 11;02625
NEUMN181220;BZ 02 Bautzen;Kreckwitzer Str. 11;02625
NEUMN181221;Bautzen 1;Löbauer Str. 63;02625
NEUMN181223;BZ Bautzen Abt. 32 (WF);Kreckwitzer Str.11;02625
NEUMN181230;Bautzen 11;Kreckwitzer Str. 11;02625
NEUMN181240;Königswartha 3;Hahnebergstr. 1;02699
NEUMN181244;Löbau 3;Poststr. 1;02708
NEUMN181246;Neugersdorf;Zittauer Str. 2;02727
NEUMN181226;Ebersbach;Bahnhofstr. 35;02730
NEUMN181255;Cunewalde;Albert-Schweitzer-Siedlung 31a;02733
NEUMN181227;Großhennersdorf 3;Zittauer Str. 25;02747
NEUMN181258;Zittau 1;Haberkornplatz 1;02763
NEUMN181232;Großschönau;Hauptstr. 70;02779
NEUMN181228;Görlitz 1;Sattigstr. 33;02826
NEUMN181252;Reichenbach;Poststr. 11;02894
NEUMN181248;Niesky;Kollmer Str. 1- 3;02906
NEUMN181256;Weißwasser O.L. 2;August- Bebel- Str. 45;02943
NEUMN181239;Hoyerswerda 9;Nardter Weg 17;02977
NEUMN181243;Lauta 3;Mittelstr. 24;02991
MN18564;0111 Cottbus;Am Gleis 10;03042
MNFM100004033;Cottbus 1;Berliner Str. 6;03046
NEUMN181732;Cottbus 29;Ringstraße 21d;03050
MNFM100120785;SNL P&P//Türk;Oststr. 5;03052
MNFM100121104;Fahrzeugstellplatz;Oststr. 5;03052
MNFM100123598;CSG.TS GmbH;Oststr. 5;03052
MNFM100124122;Cottbus 30;Oststraße 5;03052
MNFM100124123;BZ 03 Cottbus;Oststraße 5;03052
NEUMN181728;Doberlug-Kirchhain;Oststr. 5;03052
NEUMN181730;BZ Cottbus Abt. 31 (MT);Oststr. 5;03065
NEUMN181726;Burg (Spreewald)2;Gewerbering;03096
NEUMN181741;Neupetershain 2;Karl-Marx-Str. 6;03103
NEUMN181743;Spremberg 1;Heinrichsfelder Allee 39;03130
NEUMN181736;Forst;Spremberger Str.56-58;03149
NEUMN181738;Guben 5;Cottbuser Str. 1;03172
NEUMN181742;Peitz 2;Triftstraße 35;03185
NEUMN181733;Calau 2;Viersener Str.18;03205
NEUMN181737;Finsterwalde 2;Oscar-Kjellberg-Str.17;03238
NEUMN181735;Doberlug-Kirchhain 1;Schillerstr. 18a;03253
MNFM100120452;NL Telelog, Backoffice;Richard Wagner Str. 2;04109
MNFM100123126;WO/DO TS Leipzig;Richard-Wagner-Str. 2;04109
MN183388;Leipzig 122;Sasstr. 12;04155
BT04100000024;ELN Leipzig;Poststr.26;04158
DUP797-MN181;PZ 04;Poststr. 28;04158
MNFM100005465;RPZ Leipzig;Poststr. 26, Tor 57-58;04158
MNFM100006844;0400 Radefeld;Poststraße 28;04158
MNFM100113665;BZ 04 Betriebstechnik (BZ);Poststr. 26;04158
MNFM100114606;FZ Radefeld/ Leipzig;Poststr. 28;04158
MNFM100119897;DHL Global Forwarding GmbH;Sattlerweg 5;04158
MNFM100120476;Dt Post E-Post Solutions GmhH;Poststr.26;04158
MNFM100124587;DHL Express Leipzig;Poststr. 9 -11;04158
MNFM100132040;DHL Express Leipzig GmbH;Poststraße 9 - 11;04158
MNFM100132600;ZG 7200 BU//Hr Finke;Poststr 28 Büro215;04158
MNFM100134823;Leipzig Abt.31;Poststr.26;04158
MNFM100134824;BZ 04 Hausservice;Poststr. 26;04158
MNFM100134943;BZ 04 Leipzig Abt. 32 (FD);Poststr.26;04158
NEUDUP797-MN181;Leipzig Fracht 22;Poststr. 28;04158
MNFM100124800;Leipzig 133;Merseburger Str. 107;04177
MN183360;Leipzig 162;Leipziger Str. 54;04178
MNFM100117845;Leipzig 164;Brünner Str.  26a;04209
BT04100000000;Leipzig 130;Brandvorwerkstr.  52-54;04275
MNFM100127540;Leipzig 139;Bornaische Str. 210;04279
MN183381;Leipzig 50;Lilienstr. 3;04315
MN183384;Leipzig 172;Riesaer Str. 66;04328
MN183383;Leipzig 124;Löbauer Str. 49;04347
MN18785;0401 Leipzig N/O;Heiterblickstr. 36-40;04347
MNFM100008356;Amazon Versandzentrum (PZ 04);Torgauer Str.;04347
MNFM100121078;PB Firmenkunden AG;Rohrteichstr. 18;04347
MNFM100130941;0403 Leipzig mech.ZB;Rackwitzer Str. 58;04347
MNFM100133080;CSG.TS Betriebsrat;Heinrich-Schmidt-Str 7;04347
MNFM100007279;Filiale Leipzig;Messeallee 1;04356
MN183408;Leipzig 125;Mockauer Str. 15;04357
MNFM100003628;Markkleeberg 4;Hauptstr.  130-134;04416
MN183393;Markranstädt 1;Nordstr. 27;04420
MNFM100119456;0402 Markranstädt;Gewerbestr. 1;04420
MNFM100131900;helplinePRO CarTis Markranstädt;Gewerbeviertel 21;04420
MN183406;Schkeuditz 2;Freirodaer Weg  9-11;04435
MNFM100005923;Technik;Hermann-Köhl-Str. 1;04435
MNFM100006760;Verwaltung;Hermann-Köhl-Str. 1;04435
MNFM100007210;Europ.Air Transp.L-Maintenance;August-Euler-Str. 1;04435
MNFM100007409;Betrieb Flughafen L;Hermann-Köhl-Str. 1;04435
MNFM100008090;HUB Leipzig IT Abteilung;Hermann-Köhl-Str. 1;04435
MNFM100008412;Air HUB Leipzig;Hermann-Köhl-Str. 1;04435
MNFM100008415;Ausbildungswerkstatt;Industrie Str. 15;04435
MNFM100110245;Feuerwehr;Hermann-Köhl-Str. 1;04435
MNFM100112725;Security;Hermann-Köhl-Str. 1;04435
MNFM100118072;Abt. Process Engieering;Hermann-Köhl-Str. 1;04435
MNFM100118386;SStp Schkeuditz;Freirodaer Weg 9-11;04435
MNFM100119700;SStp Schkeuditz;Freirodaer Weg 9-11;04435
MNFM100121736;WO/DO SStp Schkeuditz;Freirodaer Weg 9-11;04435
MNFM100123616;TS Berlin SStp Schkeuditz -alt-;Freirodaer Weg 9-11;04435
MNFM100124920;Europ.Air Transp.L-Ground Oper.;August-Euler-Str. 1;04435
MNFM100125241;TS Leipzig SStp Schkeuditz;Industriestr. 70;04435
MNFM100125299;TS Leipzig WO/DO;Industriestr. 70;04435
MNFM100125358;TS Leipzig FM Koordination ;Industriestr. 70;04435
MNFM100129760;TS Leipzig TS Koordination;Industriestr. 70;04435
MNFM100130440;OM-HUB Leipzig;Hermann-Köhl-Str. 1;04435
MNFM100130821;Aerologic;Industriestr. 70;04435
MNFM100137290;CREM // Hr Lauschke;Industriestr 70;04435
MN183362;Borsdorf 1;Bahnhofstr. 23;04451
MN183386;Großpösna 10;Sepp-Verscht-Str. 1;04463
MN183368;Delitzsch 10;Sachsenstr. 12;04509
MN183402;BZ 04 Leipzig Abt. 32 (WF);Poststr. 26;04509
MNFM100134383;BZ 04 Leipzig Abt. 33 (WF);Poststr. 26;04509
MNFM100134703;BZ 04 Leipzig Abt. 36 (WF);Poststr. 28;04509
MN183401;Groitzsch 10;Sebastians Hof 3;04539
MN183363;Kitzscher 10;Zum Lerchenberg 4;04567
MN183359;Rötha 10;Leipziger Str.  26a;04571
DUP799-MN181;Altenburg 10;Käthe-Kollwitz-Str. 63;04600
MN183354;Windischleuba;Fünfminutenweg - Süd 10;04603
MN183387;Meuselwitz;Schacht 1;04610
MN183407;Schmölln 1;Industriering 2;04626
MNFM100131736;helplinePRO Auto Grunwald;Hauptstraße 10;04626
MN183373;Geithain 1;Am Emaillierwerk 1;04643
MN183374;Grimma 2;Am Weinberg 5;04668
MNFM100131737;helplinePRO Bosch Service Finkas;Gerichtswiesen 15;04668
MN183364;Colditz 1;Rochlitzer Str.  21;04680
MN183397;Naunhof 1;Alte Beuchaer Str. 9;04683
MN183367;Döbeln 1;Schlachthofstr. 3;04720
MN183390;Hartha 10;Döbelner Str. 40;04746
MN183399;Oschatz;Bahnhofstr.  2a;04758
MN183394;Mügeln 2;Volksgutweg  2b;04769
MN183412;Wurzen 1;Bahnhofstr. 26;04808
MN183361;Brandis 1;Bahnhofstr. 20;04821
MNFM100131729;helplinePRO Heinz Kolar;August Bebel Str.21;04824
MN183371;Eilenburg 3;Am Färberwerder 4;04838
MNFM100129260;ZUI Autohaus Kühne GmbH-LR04;Görschlitzer Str. 8;04849
MNFM100129261;ZUI Autohaus Kühne GmbH-LR04;Görschlitzer Str. 8;04849
MN183409;Torgau 1;Gewerbering 26;04860
DUP402-MN184;Falkenberg 1;Pflaumenallee 1;04895
NEUFT04100000002;Leipzig Fracht Falkenberg 22;Pflaumenallee 1;04895
MN183369;Elsterwerda 1;Saathainer-Str. 296;04910
MN183377;Herzberg 2;Frankfurter Str. 9;04916
BT04100000001;Bad Liebenwerda 2;Am Haidchensberg 2;04924
MN182547;Halle 1;Turmstr. 30;06110
DUP795-MN181;0404 Halle;Grenzstr. 24;06112
MN182524;Halle 96;Falladaweg 10;06126
MN182520;Halle 70;Querfurter Str. 20;06132
MNFM100127600;SC Leipzig;Eschenring 16;06184
MNFM100128481;Station Leipzig//Fr Dietrich;Eschenring 16;06184
MNFM100132060;Fiege Logistik / DHL Halle Saale;Polaris Str. 4;06184
MN182510;BZ 06 Betriebstechnik (BZ);An der Spitze 1;06188
MN182512;BZ 06 Halle Abt. 32 (WF);An der Spitze 1;06188
MN182519;BZ 06 Halle Abt. 32 (FD);An der Spitze 1;06188
MN182548;Landsberg;Von-Wuthenau-Platz 3;06188
MNFM100006024;DHL Freight GmbH Landsberg;Brehnaer Str. 8;06188
RT10100000093;BZ 06 Hausservice;An der Spitze 1;06188
MN182538;Wettin-Löbejün;Kreisstr. 48;06193
MN182566;Salzatal;Am Schauchenberg 3;06198
MN182535;Merseburg;Hallesche Str. 120;06217
MN182498;Bad Dürrenberg;Teuditzer Weg 13;06231
MNFM100129984;Sg 3540 Betriebssteuerung;Wiesenweg 2;06237
MN182497;Braunsbedra;Goethestr. 45;06242
MN182496;Bad Lauchstädt;Ahornstr. 5;06246
MNFM100000602;Leipzig Fracht Bad Lauchstädt 22;Ahornstr. 5;06246
MNFM100133460;0409 Bad Lauchstädt;Ahornstr. 5;06246
MNFM100133948;NL MKV, ZG 4400 // Fr Mayer;Ahornstr 5;06246
MNFM100006818;TU - Barnow;H.-von-Bose-Str. 11;06258
MN182551;Querfurt;Am Stadtwege 4;06268
MNFM100133764;helplinePRO NuFa Querfurt;Döcklitzer Tor;06268
MN182483;Eisleben;Alleebreite 18;06295
MN182556;Seegebiet Mansfelder Land;Erdeborner Str. 7A;06317
MN182516;Hettstedt;Ascherslebener Str.  3a;06333
MN182536;Köthen;An der Eisenbahn 13;06366
MN182569;Weißandt-Gölzau;Gnetscher Str. 9;06369
MN182492;Bernburg;Parkstr. 11;06406
MNFM100131735;helplinePRO Car Service Bernburg;Dessauer Str.51;06406
MNFM100135108;helplinePRO Car Service Bernburg;Dessauer Str.51;06406
MN182537;Könnern;Bahnhofstr. 21;06420
MN182527;Aschersleben;Wilhelm-Trumann-Str. 2;06449
MNFM100132220;ZUI_SchmidtuSoehne_LR39;Siemensstr. 1;06449
MN182553;Reinstedt;Froser Str. 6;06463
MN182552;Quedlinburg;Groß Orden 10;06484
MNFM100131734;helplinePRO H&M Autoservice QLB;Magdeburger Str. 13;06484
MN182493;Ballenstedt;Allee 6;06493
MN182513;Harzgerode;Augustenhöhe 13;06493
MN182567;Thale;Warnstedter Str. 16;06502
MN182570;Sangerhausen;Grabenweg 1;06526
MN182557;Südharz;Hallesche Str. 23;06536
MN182486;Artern;Puschkinstr. 62;06556
MN182499;Bad Frankenhausen;Poststr. 34;06567
MN182514;Naumburg;Heinrich- von- Stephan- Platz 1;06618
MN182539;Laucha;Hirschrodaer Str. 8;06636
MN182573;Weißenfels;Johann-Reis-Str. 2;06667
MNFM100000606;Leipzig Fracht Weißenfels 22;Johann-Reis-Str. 2;06667
MN182577;Zeitz 1;Domherrenstr.  2-4;06712
MNFM100008098;Hohenmölsen;Rudolf-Puschendorf-Str. 54;06712
MNFM100131731;helplinePRO Auto Dietze Zeitz;Loitscher Hauptstr.13;06712
MNFM100134883;helplinePRO Auto Dietze Zeitz;Loitscher Hauptstr.13;06712
MN182490;Bitterfeld-Wolfen 1;Lindenstr.  11-13;06749
MN182571;Bitterfeld-Wolfen 9;Straße der Chemiearbeiter 14;06766
MNFM100126920;Sg 3540 Betriebssteuerung;Sollnitzer Str. 15;06772
MN182508;Gräfenhainichen;Karl-Liebknecht-Str. 27;06773
MN182555;Muldestausee;Neuwerk 7;06774
MN182576;Zörbig;Lindenstr. 25-26;06780
MNFM100137089;Mitrenga GmbH;Kastanienallee 51;06780
MN182549;Oranienbaum-Wörlitz;Markt 6;06785
MNFM100123380;ZUI_AW-Technic Brehna_LR06;Max-Planck-Str.23;06796
MN182491;Dessau - Roßlau 1;Kavalierstr.  30-32;06844
DUP789-MN181;0406 Dessau;Otto-Reuter-Str. 24;06847
MNFM100001102;Leipzig Fracht Dessau - Ro 22;Otto-Reuter-Str.;06847
MN182554;Dessau - Roßlau 15;Hauptstr. 34;06862
MN182500;Coswig;Schloßstr.  30b;06869
BT06100000020;Wittenberg 8;Fabrikstr. 2;06886
MN182558;Wittenberg 1;Wilhelm-Weber-Str. 1;06886
BT06100000021;Bad Schmiedeberg;Wittenberger Chaussee 41;06905
MN182533;Jessen;Wittenberger Str. 70;06917
NEUMN182299;Saalfeld;Am Cröstener Weg 19;07318
NEUMN18929;Paket, Abt. 32 - FG Saalfeld;Am Cröstener Weg 19;07318
NEUMN182294;Bad Lobenstein;Poststraße 26;07356
NEUMN182297;Pößneck;J.-Fucik-Str. 14;07381
NEUMN182298;Rudolstadt;C.-Schulte-Straße 1;07407
NEUMN182293;Königsee;Industrie- und Gewerbepark 21;07426
NEUMN182287;Gera 20;Kastanienstr. 1;07549
MNFM100004467;BZ Gera, Abt. 31;Jacob-A.-Morand-Str. 5;07552
NEUDUP272-MN184;BZ Gera, Abt. 32;Jacob-A.-Morand-Str. 5;07552
NEUDUP274-MN184;Gera 48;Jacob-A.-Morand-Str. 5;07552
NEUMN182280;Gera 52;Jacob-A.-Morand-Str. 5;07552
MN18934;3676 Korbußen;Grobsdorfer Str. 2;07554
NEUMN182292;Korbußen;Grobsdorfer Str. 2;07554
NEUMN182304;Weida;Bahnhofstr. 16;07570
NEUMN182283;Eisenberg;C.-v.-Ossietzky-Str. 4;07607
MNFM100122824;ZUI_U-Serv.Gehrt_Petersberg_LR07;Eichenweg 3;07616
MNFM100122825;ZUI_U-Service_Peters._LR99;Eichenweg 3;07616
NEUMN182288;Hermsdorf;Robert-Friese-Str. 20;07629
MN181031;3673 Laasdorf;Oberanger 10;07646
NEUMN182301;Stadtroda;A.-Bebel-Str. 10;07646
NEUMN182290;Jena 2;Erbertstr. 2;07743
NEUBT07100000000;Jena 19;Göschwitzer Str. 38;07745
NEUMN182291;Kahla;Im Camisch 10;07768
NEUMN182282;Camburg;Georgstr. 5;07774
NEUMN182296;Neustadt;Schleizer Str. 1;07806
NEUMN182300;Schleiz;Hofer Str. 4;07907
NEUMN182305;Zeulenroda;Schopperstraße 61;07937
NEUMN182284;Greiz;Heinrich-Fritz- Str. 8;07973
MN185193;Zwickau 56;Am Bahnhof 5;08056
DUP728-MN184;Zwickau 58;Trabantstr. 2-8;08058
MNFM100131720;helplinePRO LBHS GmbH;Herschelstraße 31;08060
MN185194;Zwickau 64;Wilkauer Str. 74;08064
MNFM100120776;3677 Zwickau;Äußere Dresdener Straße 21;08066
MNFM100008389;Mülsen 2;Lippoldsruh 1;08132
DUP726-MN184;BZ Zwickau, Abt. 32;Alfred-Neef-Str. 1;08141
MN185176;Reinsdorf;Alfred-Neef-Str. 1;08141
MNFM100004468;BZ Zwickau, Abt. 31;Alfred-Neef-Str. 1;08141
MNFM100005251;NL Zwickau - Geschäftsfahrzeuge;A.-Neef-Str. 1;08141
NEUMIG1000119;Ohne Zuordnung- BZ 08 Zwickau;A.-Neef-Str. 1;08141
MN185151;Auerbach;Leerser Str. 6;08209
MN185161;Klingenthal;Markneukirchner Str. 122;08248
MNFM100117685;Markneukirchen;Breite Str. 2a;08258
MNFM100122640;ZUI_Fa.Leonhardt_Aue_LR08;Eisenbrückenweg 13;08280
MN185179;Schneeberg;Am Gerichtsberg 13;08289
MN18941;3672 Schneeberg;Am Gerichtsberg 13;08289
MN185150;Lößnitz;Wiesenstr. 2;08294
MN185155;Eibenstock;Schneeberger Str. 1;08309
MN185180;Schwarzenberg;Sachsenfelder Str. 26;08340
MN185160;Johanngeorgenstadt;Schreyerallee 2;08349
MN185157;Glauchau;Peniger Str. 15;08371
MN185186;Werdau;Johannisplatz 8;08412
MN185154;Crimmitschau;Am Roten Turm 3;08451
MN185175;Reichenbach;Krummer Weg 6 c;08468
DUP839-MN181;Paket, Abt. 35 - PZ 08 stationär;Neue Poststraße 1;08496
MN18937;3671 Neumark;Neue Poststr. 1;08496
MNFM100121003;FZ Neumark - TU Hummel;Neue Poststr. Nr. 1;08496
MNFM100134283;SNL PeP//Hr Siegel;Neue Poststr 1;08496
MNFM100135341;SNL IT P&P Standort Firmenwagen;Neue Poststr. 1;08496
NEUDUP839-MN181;Paket, Abt. 32 - FG Neumark;Neue Poststraße 1;08496
MN185173;Plauen;Pausaer Str. 1-3;08525
MNFM100118009;TU - Hendrik Hummel;Dammstraße 4;08527
MNFM100129982;Sg 3540 Betriebssteuerung;Walkgasse 2;08527
MN185172;Oelsnitz;Bachstraße 1;08606
NEUMN181642;Chemnitz 11;Straße der Nationen  2-4;09111
NEUMN181649;Chemnitz 88;Sandstr. 118;09114
MN18929;0806 Chemnitz;Carl-Hamel-Str. 16;09116
MNFM100113885;BZ 09 Betriebstechnik (BZ);Winklhoferstraße 11;09116
MNFM100115387;ÜP TVZ Chemnitz 3001;Limbacher-Straße 212;09116
MNFM100134343;Fleet//Hr Schindler;Winkelhofenstr 11;09116
MNFM100134825;BZ 09 Hausservice;Winklhoferstraße 11;09116
NEUDUP166-MN184;BZ 09 Chemnitz Abt.32 (FD);Winklhoferstraße 11;09116
NEUMN181644;Chemnitz 30;Winklhoferstr. 11;09116
NEURT10100000113;BZ 09 Chemnitz Abt. 32 (WF);Winklhoferstraße 11;09116
MNFM100001703;ÜP 1 TVZ Chemnitz 4401;Stollberger Straße 133;09119
MNFM100121689;Fahrzeugstellplatz;Wilhelm-Firl- Str. 29;09122
NEUMN181646;Chemnitz 51;Markersdorfer Str. 96;09123
MNFM100006391;Chemnitz 24;Reichenhainer Str.  29a;09126
MNFM100129160;Geschäftskunden Vertriebsmanagem;Augustusburger Str. 189;09127
NEUMN181647;Chemnitz 61;Carl-von-Ossietzky-Str. 153;09127
NEUMN181648;Chemnitz 70;Fürstenstr. 148;09130
MNFM100128420;0806 Chemnitz mech.ZB;Frankenberger Str. 151;09131
NEUMN181661;Hohenstein-Ernstthal 4;Zeppelinstr. 7;09212
NEUMN181663;Limbach-Oberfrohna 6;Zeppelinstr. 7;09212
NEUMN181638;Burgstädt 2;Goethestr. 1;09217
NEUMN181679;Rochlitz 2;Sternstr. 7;09306
NEUMN181676;Penig 2;Chemnitzer Str. 123;09322
NEUMN181664;Lichtenstein 3;Innere Zwickauer Str. 25;09350
NEUDUP168-MN184;Stollberg 2;Zu den Teichen 3;09366
NEUMN181673;Oelsnitz 1;Deutschlandschachtstr. 7;09376
NEUMN181683;Thalheim 2;Stadtbadstr. 22;09380
NEUMN181685;Zschopau 2;Auenstr. 4;09405
NEUMN181684;Thum 1;Stollberger Str. 29;09419
MNFM100004783;Wolkenstein 2;Oberer Mühlenweg 8;09429
MNFM100003533;Leipzig Fracht Annaberg-B. 22;Gewerbering 45;09456
NEUMN181637;Annaberg-Buchholz 2;Gewerbering 45;09456
NEUMN181640;Bärenstein 1;Annaberger Str. 6;09471
NEUMN181681;Crottendorf 2;Kalksteig  24g;09474
NEUMN181674;Olbernhau 2;Ladestr. 3;09526
NEUMN181654;Flöha 2;Am Mörbitzbach 4;09557
NEUMN181675;Oederan 2;Poststr. 2;09569
NEUMN181655;Freiberg 2;Knappenweg 3;09599
NEUMN181641;Brand-Erbisdorf 2;Fabrikstr. 10-12;09618
NEUMN181682;Sayda 1;Dresdner Str. 82;09619
NEUFT04100000011;Leipzig Fracht Rossau 22;Frankenberger Landstr. 7;09661
NEUMN181662;Rossau 3;Frankenberger Landstr. 7;09661
NEUMN181656;Frankenberg 2;Max-Kästner-Str. 36;09669
MNFM100124204;Berlin Mitte;Zinnowitzer Str. 8;10115
MNFM100127800;Division Freight Wien;Trabrennstraße 5 /Halle D;1020
MNFM100125320;ZSPL Berlin 34;Gubener Str. 47;10243
MNFM100136449;Berlin Friedrichsfelde;Alt-Friedrichsfelde 65c;10315
MNFM100120422;KA DP DHL / PM Technical Ost;Am Bremsenwerk 1;10317
MNFM100121102;WO/DO TS Berlin;Am Bremsenwerk 1;10317
MNFM100123624;TS Berlin WO/DO;Am Bremsenwerk 1;10317
MNFM100123633;TS Berlin TS Koordination;Am Bremsenwerk 1;10317
MNFM100123643;TS // Fr Zinne;Am Bremsenwerk 1;10317
MNFM100124682;GB 1A,Betrieb //Fr Hofrichter;Am Bremsenwerk 1;10317
MNFM100126541;Zentrale, Abt 21B4, Packstation;Am Bremsenwerk 1;10317
MNFM100130163;SNL SM;Am Bremsenwerk 1;10317
MNFM100130360;Presseservices;Am Bremsenwerk 1;10317
MNFM100132841;Packstation/ZGr Vertriebsunterst;Am Bremenwerk 1;10317
MNFM100134784;NL Multikanalvertrieb;Am Bremenwerk 1;10317
MNFM100135324;SNL IT P&P Standort Firmenwagen;Am Bremsenwerk 1;10317
RT30100000966;ZG Berlin;Am Bremswerk 1;10317
