EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
NEUMN181776;Ober Ramstadt;Dr.-Robert-Murjahn-Str.9;64372
NEUMN181778;Reichelsheim;Hofweg 3a;64385
NEUMN181770;Modautal;Lützelbacher Str. 30;64397
NEUMN181763;Groß-Bieberau;Am Schaubacher Berg 9;64401
NEUMN181760;Groß-Gerau;Gernsheimer Str. 29;64521
NEUMN181779;Riedstadt;Römerstr. 16;64560
NEUMN181762;Gernsheim;Alte Landstraße 6;64579
NEUMN181750;Bensheim;Schwanheimerstr. 28;64625
NEUMN181766;Heppenheim;Odenwaldstr. 13;64646
NEUMN181758;Fürth, Odenw;Heppenheimer Str. 76;64658
NEUMN181744;Alsbach-Hähnlein;Erlenweg 6-8;64665
NEUDUP184-MN184;Erbach;Michelstädter Str. 6;64711
MNFM100135735;Karl-H. Mühlhäuser;In den Dorfwiesen 23  ;64720
NEUMN181765;Höchst i Odw;Industriestraße 10;64739
NEUMN181747;Oberzent;Mümlingtalstr.7;64743
NEUMN181759;Groß-Umstadt;Otto-Hahn-Straße 5;64823
NEUMN181748;Babenhausen;In den Steinäckern 24;64832
MNFM100130720;Groß-Zimmern;Darmstädter Str. 79;64839
NEUMN181773;Münster;Darmstädter Str. 81;64839
MNFM100133923;PB Firmenkunden AG // Hr Gärtner;Mauritiusplatz 2;65183
BT65100000000;Wiesbaden-Bierstadt;Leipziger Straße 36;65191
BT65100000042;Wiesbaden;Stielstr. 1 A;65201
MN185039;Taunusstein;Aarstraße 143-145;65232
MNFM100131661;helplinePRO ASRuppel Taunusstein;Auf dem kleinen Feld 9;65232
MN185016;Hochheim;Altkönigstr. 12;65239
MN185004;Bad Schwalbach;Adolfstraße 42;65307
MNFM100134183;Heidenrod;Die Haide 13;65321
MN185002;Aarbergen;Friedhofstraße 4;65326
DUP688-MN184;Eltville;Schwalbacher Straße 63;65343
MN185013;Geisenheim;Schönbornstraße 1;65366
MN185032;Oestrich-Winkel;Im Mühlacker 10;65375
MNFM100135497;Alphabet Fuhrparkmanagement;Paul-Gerhardt-Weg 1 ;65375
MNFM100135725;Backhaus Dries GmbH;Fürstbischof-Rudolf-Str. 14 ;65385
MN185037;Schlangenbad;Wambacher Str. 18;65388
MN185029;Lorch;Gewerbepark - Wispertal 14;65391
DUP694-MN184;Rüsselsheim;Moselstraße 21;65428
MN185012;Flörsheim;Hospitalstraße 1-3;65439
MN185026;Kelsterbach;Waldstraße 10-12;65451
MNFM100008558;DHL FoodService GmbH Kelsterbach;Am Aspenhaag 11;65451
MNFM100128382;Zentrallager Betriebstechnik;Im Taubengrund 25;65451
MN185014;Ginsheim-Gustavsburg;Robert-Bosch-Str. 2-4;65462
MNFM100120436;ZB Ginsheim-Gustavsburg;Robert-Bosch-Straße 2-4;65462
MNFM100135772;ISUZU MOTORS Germany GmbH;Im Weiherfeld 2 ;65462
MNFM100135777;Magistrat Ginsheim-Gustavsburg;Außerhalb des Ortes 27 ;65462
MN185038;Trebur;Hans-Böckler-Str. 17;65468
MNFM100008575;Service Center Raunheim;Werrastr. 1;65479
MNFM100124262;DHL Express Frankfurt;Werrastraße 1;65479
MNFM100124620;DDI Gateway Frankfurt;Werrastr. 1;65479
MNFM100125202;DHL Express Frankfurt;Werrastr. 1;65479
MNFM100127203;DHL Express Frankfurt GmbH;Werrastraße 1;65479
MNFM100127643;DHL Express Frankfurt;Werrastraße 1;65479
MNFM100127824;DHL Express Frankfurt;Werrastraße 1;65479
MNFM100127841;DHL Express Frankfurt1bbn;Werrastraße 1;65479
