Lat;Long;Radius;PLZ;Hersteller;Fz-Typ;FzObjNr;Baujahr;Tage seit Erstzulassung;Servicevertrag;IKZ;WerkstattKuerzel;Adresse;Bemerkung
51.5218919;14.0048335;0.5;;Daimler AG;;;;;;;1T10;01968+Senftenberg+Bahnhofstrasse+21;
51.4953643;13.7573857;0.5;;Daimler AG;;;;;;;1T10;01979+Lauchhammer+Alte+Gartenstrasse+8;
51.1909113;14.4591339;0.5;;Daimler AG;;;;;;;1T8;02625+Bautzen+Keckwitzer+Strasse+11;
51.1798933;14.4513974;0.5;;Daimler AG;;;;;;;1T8;02625+Bautzen+Loebauer+Strasse+63;
51.0975037;14.6655716;0.5;;Daimler AG;;;;;;;HT151;02708+Loebau+Poststrasse+1;
50.9802598;14.6105084;0.5;;Daimler AG;;;;;;;KT9;02727+Ebersbach+Neugersdorf+Zittauer+Strasse+2;
51.0036491;14.5774467;0.5;;Daimler AG;;;;;;;KT9;02730+Ebersbach+Bahnhofstrasse+35;
50.9782231;14.7848277;0.5;;Daimler AG;;;;;;;KT9;02747+Grosshennersdorf+Zittauer+Strasse+25;
50.8988982;14.8048842;0.5;;Daimler AG;;;;;;;KT9;02763+Zittau+Haberkornplatz+1;
51.14734;14.9746996;0.5;;Daimler AG;;;;;;;KT8;02826+Goerlitz+Sattigstrasse+33;
51.2853485;14.8192029;0.5;;Daimler AG;;;;;;;KT8;02906+Niesky+Kollmer+Strasse+1;
51.5023;14.61411;0.5;;Daimler AG;;;;;;;HT187;02943+Weisswasser+August+Bebel+Strasse+45;
51.4475073;14.2247444;0.5;;Daimler AG;;;;;;;1T2;02977+Hoyerswerda+Nardter+Weg+17;
51.7670042;14.3716515;0.5;;Daimler AG;;;;;;;1A22;03042+Cottbus+Am+Gleis+10;
51.7734613;14.3631208;0.5;;Daimler AG;;;;;;;1A22;03042+Cottbus+Stadtring+3;
51.764716;14.337405;0.5;;Daimler AG;;;;;;;1A22;03044+Cottbus+Zimmerstrasse+8;
51.7610685;14.3292782;0.5;;Daimler AG;;;;;;;1A22;03046+Cottbus+Berliner+Strasse+6;
51.7204917;14.3428467;0.5;;Daimler AG;;;;;;;1A22;03050+Cottbus+HAenchenerstrasse+9;
51.73306;14.33318;0.5;;Daimler AG;;;;;;;1A22;03050+Cottbus+Ringstrasse+21d;
51.76774;14.37914;0.5;;Daimler AG;;;;;;;1A22;03052+Cottbus+Oststrasse+5;
51.6247253;14.1621019;0.5;;Daimler AG;;;;;;;1T10;03103+Neupetershain+Karl+Marx+Strasse+6;
51.565899;14.3532277;0.5;;Daimler AG;;;;;;;GC1;03130+Spremberg+Heinrichsfelder+Allee+39;
51.7331362;14.632951;0.5;;Daimler AG;;;;;;;1A22;03149+Forst+Spremberger+Strasse56;
51.9582323;14.7006688;0.5;;Daimler AG;;;;;;;1A22;03172+Guben+Cottbuser+Strasse+1;
51.8510711;14.4114159;0.5;;Daimler AG;;;;;;;1A22;03185+Peitz+Triftstrasse+35;
51.7493218;13.9676383;0.5;;Daimler AG;;;;;;;GC7;03205+Calau+Viersener+Strasse+18;
51.6056676;13.6761467;0.5;;Daimler AG;;;;;;;GC2;03238+Heideland+Dorfstrasse+13;
51.630181;13.706143;0.5;;Daimler AG;;;;;;;GC2;03238+Finsterwalde+Leipziger+Strasse61;
51.6320016;13.5609911;0.5;;Daimler AG;;;;;;;GC2;03253+Doberlug+Kirchhain+Schillerstrasse+18a;
51.4120363;12.2920573;0.5;;Daimler AG;;;;;;;1F3;04158+Leipzig+Poststrasse+26;
51.4117856;12.2888256;0.5;;Daimler AG;;;;;;;1F3;04158+Leipzig+Poststrasse+28;
